Name,Link Of Course,Short Description,Description,What You Will Learn,Effort,Subject,Level,Language
UX Research Surveys,https://www.edx.org/course/ux-research-surveys-michiganx-ux507x,Learn how to use UX surveys to gain insights into user needs and attitudes toward system designs.,"This UX course will provide an overview of survey methodology from the perspective of UX research. UX surveys typically focus on uncovering user needs, connecting needs to user characteristics, and gaining insight into user attitudes towards systems they use. In this course, learners will learn the basics of UX survey research and conduct a survey of their own design!
This course is part of the User Experience (UX) Research and Design MicroMasters Program offered by MichiganX.This course is part of a MicroMasters program. If you complete all courses in the MicroMasters program in 2018, GE will guarantee you an interview in Boston for an internship or full-time role. Open to Massachusetts residents only.","What you'll learn
Learn about the different types and uses of surveys in UX research
Understand the survey population: when to sample, when to recruit
Develop a survey instrument that meets your requirements
Analyze and report on surveys
Learn to critique user surveys",3 to 4 hours per week,Computer Science,Intermediate,English
Software Construction: Data Abstraction,https://www.edx.org/course/software-construction-data-abstraction-ubcx-softconst1x,"Learn powerful data abstraction and decomposition techniques to build large, complex programs.","This is the third course in the Software Development MicroMasters program. You will learn how to build larger and more complex software systems using the Java programming language.
The course begins with the topic of data abstraction - from specification to implementation. Particular attention is given to how to write robust tests using JUnit. Then the course expands on these ideas to explore how type hierarchies and polymorphism can be used to decrease redundancy in your code. The course wraps up with a discussion of how to design robust classes.
By the end of the course, you will have a solid foundation in designing software in Java, and be ready to move onto Software Construction: Object-Oriented Design, where you will learn more complex design patterns and principles designing object-oriented programs.
Learners who enroll in the Verified track will receive staff grading for the course project and increased interaction with the instructors and staff.","What you'll learn

How to read and write Java programs
How to test Java programs with JUnit
To build larger software systems using abstraction and decomposition
How to specify, implement, use and test a data abstraction",8-10 hours per week,Computer Science,Introductory,English
Introductory AP® Microeconomics,https://www.edx.org/course/introductory-apr-microeconomics-mitx-14-01x,An overview of introductory microeconomics. Learn the key principles of economics and how to apply them to the real world - and the AP® exam!,"Want to learn how individuals and businesses make the decisions that drive our economy - and use those skills to ace the Microeconomics AP® exam? This is the course for you!
This economics course is an introduction to basic microeconomic principles. You will learn how individuals make decisions ranging from what type of goods to buy to how many hours to work, and how firms make decisions ranging from how many workers to hire to what prices to charge. You will study how to evaluate economic outcomes from the perspective of efficiency and fairness, and discuss the proper role of the government in determining these outcomes.
This course will cover all material that is required for the Microeconomics AP® exam. It will cover this material through a mix of intuitive explanations, real-world applications, and graphical and mathematical supplements that explore the content in more depth. By the end of the course, not only will you have an understanding of the most important principles of microeconomics, but you’ll be able to use these principles to better understand the workings of the real world around you!
*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings.","What you'll learn
Consumer theory: How do consumers make decisions to maximize happiness?
Producer theory: How do firms make decisions to maximize profit?
Market structures: How does the structure of a market affect economic efficiency?
Market failures: How do markets fail and what is the role of government to respond to these failures?
Economic fairness: How do we strike the balance between economic efficiency and fairness?







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description
Week 1: Welcome and Introduction (Units 1-2)



Introduction

Supply and Demand



 Week 2: Consumer Theory I (Units 3-6)



Consumer Preferences

Utility Functions

Budget Constraints

Utility Maximization



 Week 3: Consumer Theory II (Units 7-8)



Deriving Demand

Income and Substitution Effects



 Week 4: Producer Theory I (Units 9-12)



Intro to Production

Short-Run Production

Short-Run Costs

Long-Run Production



 Week 5: Producer Theory II (Units 13-16)



Perfect Competition

Profit Maximization

Short-Run Supply Curve

Long-Run Supply Curve



 Week 6: Competitive Equilibrium and Welfare (Units 17-21)



Shifts in Supply and Demand

Individual Surplus

Market Surplus

Competition and Maximizing Welfare

Taxes in Competitive Markets



 Week 7: Other Market Structures I (Units 22-24)



Intro to Monopolies

Welfare Effects of Monopoly

Origins of Monopoly



 Week 8: Other Market Structures II (Units 25-27)



Intro to Oligopolies

Game Theory

Oligopolistic Competition



 Week 9: Factor Markets (Units 28-32)



Modeling Preferences for Work

Labor Supply

Labor Demand

Labor Market Equilibrium

Capital Markets



 Week 10: International Trade (Units 33-35)



Intro to Trade

Productions Possibilities Frontier and Comparative Advantage

International Trade and Welfare



 Week 11: Role of Government I (Units 36-39)



Redistribution

Deadweight Loss of Redistribution

Externalities

Government Solutions to Externalities



 Week 12: Role of Government II (Units 40-42)



Public Goods

Uncertainty

Information Asymmetry",3 to 4 hours per week,Economics & Finance,Introductory,English
The Science of Parenting,https://www.edx.org/course/science-parenting-uc-san-diegox-parenting101x,"Move beyond the chatter and opinion surrounding parenting and learn about the scientific findings and data that can help you make sensible, informed parenting decisions.","Everyone has an opinion on parenting – where babies should sleep, what they should eat, and whether parents should spank, scold, or praise. What’s more, the media often offers support for whichever opinions appear most popular at any given time. This leaves those of us who like to base our decisions on firm, provable facts feeling dizzy.


“The Science of Parenting” addresses this confusion by moving beyond the chatter and opinion surrounding parenting, and by looking directly at the science. Parenting itself is far from a science. Nevertheless, scientists have conducted thousands of studies that can help parents – or future parents – make sensible, informed decisions.


One goal of this course will be to provide a survey of important scientific findings spanning a range of topics that are central to the lives of parents: 

diet;
sleep;
discipline;
learning;
screen time;
impulse control;
vaccination.

We’ll also explore ongoing mysteries, like what causes autism, and why so many children are allergic to peanuts.


Perhaps more important, this course will not only dig into existing science, but will also explore the underlying nature of parenting science itself. Often, scientists measure correlations: they ask how different parenting practices are related to different behaviors in children. But the claims they make from correlational data are often much, much stronger. For example, from correlational data, scientists often claim that parents cause the behaviors of their kids. This course will show how this type of error – common in the scientific literature – can explain a significant amount of the confusion present in the media and general public. We will discuss how to avoid the same error when evaluating science, and how to use the sum of available evidence to inform decision making.


The course’s instructor, David Barner, is a leading authority on cognitive development. He is joined by leading experts on behavior genetics, vaccination, autism, lying, and spanking, as well as by real live parents who try to use science to inform their decisions. This class is suitable not only for parents, future parents, and grandparents, but also for professionals interested in health care, social work, and early childhood education who want to increase their knowledge and analysis skills.","What you'll learn

Core knowledge on topics including infant sleep, forms of discipline, breastfeeding, language and math learning, screen time, bilingualism, and autism;
Analytical and applied techniques, including how to compute the contribution of genetics to a trait, how to understand and compute correlations, and how kids can effectively study for tests;
Best practices for sleep training, discipline, and feeding.








          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description

        Week 1: The Nature vs. Nurture Debate; Adoption and Behavior Genetics


Week 2: Learning Language; Screen time; Preschool; Music


Week 3: Morality; Self Control; Family Structure


Week 4: Autism and Vaccination; Sleep; Diet & Breastfeeding


Week 5: Learning and School: The Achievement Gap; Learning Styles; Acceleration; Homeschooling",3-5 hours per week,Social Sciences,Introductory,English
Open Education and OERs Repositories,https://www.edx.org/course/open-education-oers-repositories-ieeex-foe01-x,Learn how open education and open educational resources (OERs) are changing the rules of education and how to apply them to your everyday teaching.,"Open education and open educational resources are deeply influencing and transforming the educational environment. This course offers a practitioner’s view of open education, open educational resources, repositories and applications for educators and professionals.  
This 4-week course is designed to provide a comprehensive understanding of the ways in which open education and open educational resources are changing the rules of education. The purpose of the course is to help faculty and professionals dedicated to education to understand the advantages of open education and how they can apply it to their everyday teaching.  
No previous knowledge is necessary. Join us as you start your open education journey.","What you'll learn
On completing this course, you will strengthen your knowledge and career potential by demonstrating an understanding of:
Foundations of open education and open educational resources (OERs);
Open licenses that apply to OERs;
How to search, create, use, remix and share OERs;
OERs repositories;
OERs Applications to Academia & Industry.







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description
Week 1: Introduction to Open Education & OERs
Open source way
Open education
Open educational resources
Open courses: from OCW to MOOCs
Week 2: Repositories
Communities based on OER Repositories; Repositories of general purpose
Open practices based on repositories
Challenges to use OER from repositories
Open engineering communities; The case of IT and CS communities in Merlot repository
Week 3: Applications to Academic and Industry 
Teaching through Open Education
Research and Open Access
Industry and Open Education
The Future
Week 4: Applications for OERs 
OERs: properties, formats and tools
Creative Commons Licenses and their use
OERs and media: presentations and documents / video (creation and modification)
Other OERs (Lesson Plans, Rubrics, Assessments, etc.)",2 to 4 hours per week,Education & Teacher Training,Introductory,English
Algorithms and Data Structures,https://www.edx.org/course/algorithms-data-structures-microsoft-dev285x,Learn how to write faster and more efficient code against the backdrop of famous algorithms.,"This course is part of the Microsoft Professional Program in Entry-Level Software Development.Want to build better programs? Learn how, in this professional-level course.
Bring your programming experience, and join us for a deep dive into fundamental concepts that you can use right away. Go underneath the hood of functional algorithms and data structures, and see how they work and how to compare them. Plus, get the details on when and how to use them.
In this real-world-tested curriculum, take a look at famous algorithms and equations, and see how yours stack up. See practical demos, compare “life scenarios” to their coding counterparts, and create an app for your final project.
Add to your developer toolkit with this in-depth exploration of algorithms and data structures.","What you'll learn

Algorithmic Analysis
Sorting and Searching of Algorithms  
Data Structures: Linked lists, Stacks, Queues.







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description

Module 0: Introduction to the course
Module 1:


     Algorithms basics
     Sorting and Searching


Module 2: Algorithmic analysis
Module 3:

     Linked lists
     Stacks and Queues

Final Assessment",3 to 4 hours per week,Computer Science,Intermediate,English
Introduction to Design Thinking,https://www.edx.org/course/introduction-design-thinking-microsoft-dev241x,Design Thinking is a creative process that combines thoughtful user research with rapid iteration. Learn why it becomes an industry standard all over the world.,"This course is part of the Microsoft Professional Program in Entry-Level Software Development.Want to take your design skills to the next level? Join a team of industry experts on this practical and informative journey from concept to conclusion.
This course will introduce you to the Design Thinking process and illustrate best practices for each step along the way. You’ll find this is an incredibly powerful tool for any field: from Engineering to Entrepreneurship and beyond.
You will utilize everything you learn in this course to create your very own project. In doing so, you will learn many practical and applicable skills such as user research and rapid prototyping, which will set you apart in your field.","What you'll learn

How to conduct in-depth interviews & other surveys in order to understand the user
Ways to synthesize ideas into a cohesive and practical product
Use of simple prototyping tools to quickly iterate designs
How to design User Interfaces that are tailored to be easy & efficient







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description

        Module 1 - Discovery Module 2 - Synthesis Module 3 - Prototype Module 4 - Iterate",3 to 4 hours per week,Computer Science,Introductory,English
Research Methods: An Engineering Approach,https://www.edx.org/course/research-methods-engineering-approach-witsx-elen7070x-0,Learn how to successfully design your research and understand the underlying principles of postgraduate research from an engineering perspective.,"A PhD or master’s level research project is an enormous undertaking, and you might find yourself a bit uncertain about the process or how to achieve the desired outcome. In this research course, you will learn the underlying principles that are needed to conduct research from an engineering perspective.
This course is designed for engineering students conducting postgraduate research work on engineering projects. The objective of the course is to translate current research methods, which are mostly from a social science perspective, into something more relatable and understandable to engineers. Our hope for this course is to go beyond the concepts to understand the actual reasons for doing research in a certain way. While engineers are the main target audience, non-engineers will find this information useful as well.
The methods taught in this course will equip you with the knowledge needed to design, plan and construct your own research process.","What you'll learn
What constitutes good research:
An understanding of when research is contributing to shared knowledge
Design of the research process
Dealing with uncertainty in research planning
Tools required for creative research







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description
Week 1: What Constitutes Research?Week 2: What Makes Your Research a Contribution?Week 3: Where Does My Research Fit In?Week 4: Writing as DiscoveryWeek 5: ArgumentWeek 6: Planning",2 to 3 hours per week,Engineering,Introductory,English
System Dynamics for Health Sciences,https://www.edx.org/course/system-dynamics-health-sciences-witsx-hsd101x-0,Learn to use system dynamics to better understand complex medical issues and interventions.,"Effective and meaningful engagement with complex modern medical systems requires an overarching set of tools.
System dynamics is such a tool, allowing health practitioners to model and simulate problems ranging from the molecular level to the entire healthcare system and beyond. This introductory course will teach you the fundamental principles of system dynamics as you learn how to use system dynamics software to explore problems relevant to your field of health. Whether you work in molecular biology, clinical medicine, health policy, or any other health-related field, this course will equip you to investigate the effects of time delays, feedback and system structure. You will learn how to interpret the causes of typical system behaviors such as growth, decay and oscillation in terms of the underlying system properties, and to rapidly develop computer-based models and run simulations to gain insight into the problems in your domain.
This course will empower you with a deeper understanding and an enhanced capacity to achieve useful interventions in healthcare.","What you'll learn
Basics of systems and their behaviors
Structure of simple systems and how they correlate with system behavior
Zero and first-order systems
Ability to apply system dynamics methodology to a wide range of medical problems
Ability to use system dynamics software to rapidly develop models and run simulations of problems







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description
Week 0: Welcome to the course

Week 1: Causal Loop Diagrams; Levels and rates; Developing and running a simple Vensim model; The nuts and bolts of Vensim's basic calculation; Visual integration and differentiation

Week 2: Zero-order systems; First-order systems

Week 3: Feedback; Modeling epidemics; A simple model of a bioreactor – a system dynamics example

Week 4: Pharmacokinetics; Clearance; Single compartment model of dialysis; Two-compartment model of dialysis

Week 5: Obesity - a system dynamics example

Week 6: Second-order systems, Lookup tables, Conclusion",2 to 4 hours per week,Medicine,Intermediate,English
Business Model Testing,https://www.edx.org/course/business-model-testing-delftx-bmi-3x-0,Learn how to stress test your business model to help you anticipate change and harness your business model’s success.,"The world is changing rapidly and full of uncertainties. The future success of a business model depends on how well it is adapted to changing circumstances. Do you want to become aware of the relevant developments in technology, markets and society? And understand how this affects your business?
This business and management course will teach you how to stress test your business model. You will learn how to identify the relevant trends and uncertainties and how they impact your business model. You will analyse the strong and weak parts of your business model and look for opportunities to make your business model more robust and future proof.
You will learn through real-world examples from well-known companies and interact with fellow entrepreneurs. By the end of this course, you will be able to stress test your own business model to analyse its future success.
LICENSE
The course materials of this course are Copyright Delft University of Technology and are licensed under a Creative Commons Attribution-NonCommercial-ShareAlike (CC-BY-NC-SA) 4.0 International License.","What you'll learn

How to identify which trends and uncertainties will affect your business model
Evaluate how robust your business model is given trends and uncertainties
Formulate concrete actions to make your business model more robust







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description
Week 1 & 2: My Business model in a dynamic context Recap: structured description of a business model  Sources and drivers of change: politics, economy, society, technology, legal, ecology (PESTLE) Trends vs uncertainties. Week 3 & 4: Selecting trends and uncertainties affecting my business model What are my key stress factors and outcomes (=scenario axis development) Mapping stress factors on business model (facts and issues) Week 5 & 6: Stress-testing my business model Confronting BM with the stress factors Create a heat map (=stresstesting) Week 7 & 8: Improving my business model Analyse the weak and strong points (will my BM be sustainable in the future) What can I do to keep my BM sustainable? (=formulating concrete actions)",2 to 4 hours per week,Business & Management,Introductory,English
"Proteins: Alignment, Analysis and Structure",https://www.edx.org/course/proteins-alignment-analysis-structure-usmx-university-maryland-university-bif002x,Learn about proteins and the important role structure plays in their function as you learn how to analyze and align protein sequences.,"Proteins play a very important role in all organisms. In fact, most of the work that happens inside every cell happens because a specific protein is employed for a specific task. Often the three-dimensional shape of a protein plays a major role in its function. As such, it is important to know the structure of all proteins to have an idea of what function they perform.
One of the jobs of a bioinformatician is to predict the three-dimensional structure of a protein using only the DNA sequence that encodes it as well as determining the effects of any mutations in the DNA on the three-dimensional structure/function.
In this course, part of the Bioinformatics MicroMasters program, you will learn about protein structure and its impact on function, practice aligning protein sequences to discover differences, and generate model structures of proteins using web and software-based approaches.","What you'll learn

Analyze biological big data
How to align protein sequences to discover differences and determine structure  
Generate model structures of unknown proteins",8-10 hours per week,Biology & Life Sciences,Advanced,English
DNA Sequences: Alignments and Analysis,https://www.edx.org/course/dna-sequences-alignments-analysis-usmx-umuc-bif001x,Learn how to align and analyze DNA sequences using web and software based tools to find mutations and other anomalies in genes and genomic sequences.,"Gene sequences and the rest of the genome play an important role in determining how an organism functions normally and reacts when situations change. DNA sequences can also be used to determine relationships between organisms and form the underpinnings of the Tree of Life.
Since DNA sequences play such an important role in any organism it should not be surprising that any changes to a sequence could lead to alterations in behavior or response. For example, a small number of specific changes in DNA sequence have been shown to lead to tumor development in mammals or the production of enzymes with altered properties.
One of the jobs of a bioinformatician is to help determine where these changes are in a DNA sequence and sort out in that context what effects may result, which is usually done by aligning the sequences in question.
In this course, part of the Bioinformatics MicroMasters program, you will learn about the theory and algorithms behind DNA alignments, practice doing alignments manually, and then perform more complicated alignments using web and software based approaches.","What you'll learn

Synthesize and analyze biological big data
Theory behind alignment algorithms and how they operate
Examine the roles mutations play on cellular processes",8-10 hours per week,Biology & Life Sciences,Advanced,English
Troubleshooting Skype for Business,https://www.edx.org/course/troubleshooting-skype-business-microsoft-cld236x,"Learn how to troubleshoot Skype for Business related issues including firewall configuration, conferencing, persistent chat and more.","In Troubleshooting Skype for Business, we examine the Skype for Business 2015 architecture and learn how to troubleshoot Skype for Business related issues including:

Analyzing the client sign in process
Conferencing
Persistent chat
Presence issues
Remote connectivity
Firewalls
Edge Server configurations
PBX integrations

This course will be most valuable for IT Professionals who manage Skype for Business deployments.","What you'll learn
What you’ll learn:
Identify Firewall configuration issues
Trace Skype for Business communications with CLS and client logs
Analyze traces and messages with Snooper
Troubleshoot Skype for Business sign-in process
Troubleshoot Enterprise Voice configurations







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description

        To be completed and manually uploaded in the Handouts section of the course.",3 to 5 hours per week,Computer Science,Intermediate,English
Manage Office 365 Identities,https://www.edx.org/course/manage-office-365-identities-microsoft-cld243x,"Learn how to implement and manage the various types of identities in Office 365, including cloud, synced and federated identities.","In this training course, you will learn how to set up and manage users and groups, known as identities, in Office 365. You will learn the different types of identities that are available to create and configure in Office 365 and the benefits of using each one of them.
For example, Office 365 allows you to synchronize your local Active Directory users to the cloud, so that you only have to manage your users in one place and the changes are synchronized to the cloud automatically. You will also learn the implications of using a specific identity type and how to manage the passwords for those users. Office 365 offers a rich set of security features for identities to ensure your data is protected.","What you'll learn
What you’ll learn:

Manage users, security groups and licenses for cloud identities in Office 365
Plan and implement identity synchronization with Azure AD Connect
Planning and implementing federated identities with Active Directory Federation services








          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description

        To be completed and manually uploaded in the Handouts section of the course.",4-6 hours per week,Computer Science,Advanced,English
Introduction to Biomedical Imaging,https://www.edx.org/course/introduction-biomedical-imaging-uqx-bioimg101x-4,Discover how medical imaging technologies are complementary and what information they provide to health professionals.,"Imaging technologies form a significant component of the health budgets of all developed economies, and most people need advanced imaging such as MRIs, X-Rays and CT Scans (or CAT Scans) during their life. Many of us are aware of the misinformation sometimes offered in TV dramas, which either exaggerates the benefits or overemphasizes the risks.
This medical imaging course provides an introduction to biomedical imaging and modern imaging modalities. The course also covers the basic scientific principals behind each modality, and introduces some of the key applications, from neurological diseases to cancers. This course includes modules specially designed for the general public, whilst also providing some advanced modules which could contribute to professional development in health, engineering and IT industries.","What you'll learn

Why there is a need for different imaging modalities
The basic principles of each modality and the terminology used
The patient experience and why things happen during the imaging procedure
How to select the most suitable modality for a given clinical case
How to provide basic advice on imaging modalities to your peers

Additionally, in the 'advanced' sections in the course you'll learn:

How an image is reconstructed / visualized OR
The principles of image post-processing







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description

        The Introduction to Biomedical Imaging course incorporates a case study which is introduced at the start of each episode. This case study will follow a hypothetical patient required to undergo various imaging modalities for a medical condition. For each episode we include information relevant to that modality and the basic scientific principles, hardware and technology, and clinical applications. 

In episode 1, we’ll consider x-rays.
In episode 2, we’ll explore computerised tomography (CT).
In episode 3, you’ll learn about ultrasound (U/S).
In episode 4, we’ll discuss magnetic resonance imaging (MRI).
In episode 5, you’ll learn about PET and SPECT.


Each episode will include several short quizzes which will not contribute to your final grade and will help you understand the key points. To complete the course, the assessment is a marked quiz for each episode that will contribute to your final grade, plus a final assessment called Assessment Scenarios at the end of the course. Assessment Scenarios involve reviewing 2 case studies/scenarios and answering questions related to imaging modalities of relevance.",2 to 3 hours per week,Medicine,Introductory,English
Science & Cooking: From Haute Cuisine to Soft Matter Science (part 1),https://www.edx.org/course/science-cooking-haute-cuisine-soft-harvardx-spu27-1x-0,Top chefs and Harvard researchers explore how everyday cooking and haute cuisine can illuminate basic principles in physics and engineering.,"During each module of this course, chefs reveal the secrets behind some of their most famous culinary creations — often right in their own restaurants. Inspired by such cooking mastery, the Harvard team will then explain the science behind the recipe.
Topics will include:

How molecules influence flavor
The role of heat in cooking
Diffusion, revealed by the phenomenon of spherification, the culinary technique pioneered by Ferran Adrià.

You will also have the opportunity to become an experimental scientist in your very own laboratory — your kitchen. By following along with the engaging recipe of the week, taking precise measurements, and making skillful observations, you will learn to think like both a cook and a scientist. The lab is certainly one of the most unique components of this course — after all, in what other science course can you eat your experiments?

HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code : https://www.edx.org/edx-terms-service. HarvardX will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.
HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our research statement: http://harvardx.harvard.edu/research-statement to learn more.
Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact harvardx@harvard.edu and/or report your experience through the edX contact form: https://www.edx.org/contact-us.","What you'll learn
The scientific concepts that underlie everyday cooking and haute cuisine techniques;
How to apply principles of physics, engineering, and chemistry to cooking;
How to become an experimental scientist in your own kitchen;
How to think like a chef AND a scientist.







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description
Module 1: Molecules, moles, flavor, and pH 

Includes a discussion by Daniel Humm of Eleven Madison Park in NYC on flavor, pH, and the secret to his famous duck sauce, and scientific discussions on the major macromolecules of food, as well as flavor, moles, and pH.

Module 2: Energy, temperature, and heat 

Includes a welcome drink by Dave Arnold of Booker and Dax in NYC to toast the course, and a scientific discussion of how to cook a perfect egg. This module will focus on one of the most commons ways to cook - adding energy in the form of heat to increase the temperature of a food and thereby change its internal structure.

Module 3: Phase transitions 

Joan and Jordi Roca of El Celler de Can Roca, recently voted the best restaurant in the world, will explain how they manipulate phase transitions when cooking by using techniques such as sous vide and rotovapping. The scientific discussion will focus on what causes phase transitions in foods from a macroscopic and microscopic perspective. 

Module 4: Diffusion and Spherification 

José Andrés, chef and owner of minibar, Jaleo, and The Bazaar, will introduce us to the remarkable dishes he creates with gelling agents. Dominique Crenn of Atelier Crenn in San Fransisco will make carrot jerky, and America's Test Kitchen will show us their secrets to making excellent scrambled eggs and coleslaw. Scientific discussions in this module will include gelation, modernist thickeners, and diffusion, which make some remarkable dishes possible.

Module 5: Heat Transfer 

Carme Ruscalleda, chef and owner of restaurant Sant Pau, will cook steak and other culinary specialties that illustrate the special attention chefs pay to heat diffusion when cooking food. Nathan Myhrvold will share his method for cooking the perfect burger, and America’s Test Kitchen will show us their secret to cooking perfect French fries. The scientific discussion in this module is about heat transfer, and explaining why it is so hard to cook a perfect steak from both a microscopic and macroscopic perspective. We will also explore heat-dependent chemical reactions, and how they impact food taste and texture.

Module 6: Candy 

In the final module we will discuss solubility and the science of candy and chocolate. Joanne Chang, from Flour bakery, will talk about the stages of sugar, and Enric Rovira from Xocolaters de Barcelona in Spain will show us some marvelous chocolate creations and we will discuss the underlying science of chocolate tempering and the different phases of chocolate.",5 to 7 hours per week,Physics,Introductory,English
Compliance in Office 365: eDiscovery,https://www.edx.org/course/compliance-office-365-ediscovery-microsoft-cld204x-1,"Learn how to plan, implement, and manage eDiscovery in the first in a series of courses concerning Compliance in Office 365.","As organizational data stored in email and documents continues to grow, Office 365 makes it easy to find relevant information as you need it.
In this course, you will learn how to plan, implement and manage eDiscovery in your organization. This course covers all necessary steps to effectively plan and manage discovery requests and conduct an Advanced eDiscovery analysis.
This is the first in a series of courses concerning Compliance in Office 365.","What you'll learn
Understanding the eDiscovery architecture of Office 365.
Planning eDiscovery activities like delegating administration roles and integration requirements.
Implementing eDiscovery features of Office 365.
Using eDiscovery to find information in your organization.
Conducting Advanced eDiscovery analysis of cases.
Troubleshooting typical eDiscovery issues in Office 365.",3 to 5 hours per week,Computer Science,Advanced,English
Compliance in Office 365​®: Data Governance,https://www.edx.org/course/compliance-office-365-r-data-governance-microsoft-cld206x-0,"Learn how to plan, implement, and manage Data Governance in Office 365.","In this computer science course you will examine how to plan, implement, and manage Data Governance. As organizational data stored in email and documents continues to grow, Office 365 makes it easy to control the information that you want to keep, as well as control the flow of information out of your organization. This course covers all the steps to effectively plan and manage data retention and data leakage.
This is the second in a series of courses concerning Compliance in Office 365. By completing this course, you will gain an understanding of the archiving and data retention capabilities of Office 365 and data leakage prevention.","What you'll learn
Understanding the archiving and data retention architecture of Office 365.
Implementing the archiving and data retention features of Office 365.
Implementing data leakage prevention in Office 365.
Using archiving and retention in your organization.
Using data leakage prevention.
Troubleshooting typical archiving and data leakage prevention issues in Office 365.",3 to 5 hours per week,Computer Science,Advanced,English
Microsoft Exchange Server 2016 - 1: Infrastructure,https://www.edx.org/course/microsoft-exchange-server-2016-1-microsoft-cld208-1x-2,"Learn how to plan, configure and manage Active Directory infrastructure requirements for Microsoft Exchange Server 2016.","This computer science course describes planning and configuring the Active Directory infrastructure requirements to support an Exchange Server 2016 organization. You will also learn how to deploy and configure Exchange 2016 servers for messaging. This course will cover how you manage Exchange servers, create recipients in Exchange 2016 and manage permissions of the mailboxes. Finally, you will learn how to set up role-based access and control for your Exchange 2016 environment.
This course is part of the Microsoft Exchange Server 2016 XSeries. By completing this course, you will gain a better understanding of the infrastructure requirements of Exchange Server 2016.","What you'll learn
Microsoft Exchange Server 2016 prerequisites, requirements, and deployment
Manage Microsoft Exchange Server 2016 and Recipient Objects
Manage Mail-enabled Object Permissions
Plan and Implement Public Folder Mailboxes
Plan and Configure Administrative Security and Auditing",3 to 5 hours per week,Computer Science,Intermediate,English
Microsoft Exchange Server 2016 - 2: Client Access Services,https://www.edx.org/course/microsoft-exchange-server-2016-2-client-microsoft-cld208-2x-2,"Learn how to plan and implement mobile messaging, Outlook and secure Internet access to improve client access services.","In this computer science course, you will learn how Microsoft® Exchange Server 2016 provides access to user mailboxes for many different clients. In Exchange Server 2016 all messaging clients access Exchange Server mailboxes through the use of client access services (CAS). Because of the importance of CAS in powering Exchange’s messaging engine, you must understand how to plan, implement and manage Microsoft Exchange Server 2016 Client Access Services.
This course is part of the Microsoft Exchange Server 2016 XSeries. By completing this course, you will gain a better understanding of client access services within Exchange Server 2016.","What you'll learn
Plan and implement client connectivity within your organization
Implement and configure Outlook on the web
Implement and configure Mobile Messaging
Plan and configure Client Access Services for Internet access
Plan and configure high availability for Client Access Services",3 to 5 hours per week,Computer Science,Advanced,English
Microsoft Exchange Server 2016 - 3: Mailbox Databases,https://www.edx.org/course/microsoft-exchange-server-2016-3-mailbox-microsoft-cld208-3x-2,"Learn how to plan and configure mailbox databases, including backup, recovery and restoration.","In this computer science course, you will learn how to plan and design the key component of the Microsoft Exchange infrastructure: the mailbox server.
Mailbox servers host mailbox databases and address books, handle message transport and routing, and provide unified messaging services.
You will learn to protect mailbox databases and the data they contain by configuring Mailbox servers and databases for high availability and site resilience.
This course is part of the Microsoft Exchange Server 2016 XSeries. By completing this course, you will gain a better understanding of mailbox databases in Exchange Server 2016.","What you'll learn
Plan and design Microsoft Exchange 2016 Mailbox Servers
Plan and Implement mailbox high availability
Plan and Implement a mailbox site-resilient solution
Plan and Implement Backup, Restore, and Recovery of mailbox databases",3 to 5 hours per week,Computer Science,Intermediate,English
